,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,average
439,P_emaildomain_suffix_nan,39,28,74,48,34,45,44.666666666666664
440,P_emaildomain_suffix_uk,0,0,0,0,0,0,0.0
441,P_emaildomain_suffix_us,102,101,111,109,103,116,107.0
442,R_emaildomain_suffix_com,76,55,88,76,74,87,76.0
443,R_emaildomain_suffix_de,0,0,0,0,0,0,0.0
444,R_emaildomain_suffix_es,2,4,0,5,2,2,2.5
445,R_emaildomain_suffix_fr,0,0,0,0,0,0,0.0
446,R_emaildomain_suffix_jp,0,0,0,0,0,0,0.0
447,R_emaildomain_suffix_mx,2,6,4,17,9,11,8.166666666666666
448,R_emaildomain_suffix_nan,6,2,4,3,2,5,3.6666666666666665
449,R_emaildomain_suffix_uk,0,0,0,0,0,0,0.0
450,R_emaildomain_suffix_us,4,5,15,2,10,8,7.333333333333333
